country,cntrygrp,hdi,rankHdi,meanYrSchool,gni,life
"Palestine, State of",4,0.69,107,8.9,5168,73.2
Panama,2,0.77,65,9.4,16379,77.6
Papua New Guinea,3,0.49,157,3.9,2453,62.4
Paraguay,2,0.68,111,7.7,7580,72.3
Peru,2,0.74,82,9,11280,74.8
Philippines,5,0.66,117,8.9,6381,68.7
Poland,1,0.83,35,11.8,21487,76.4
Portugal,1,0.82,41,8.2,24130,79.9
Qatar,4,0.85,31,9.1,119029,78.4
Romania,1,0.79,54,10.7,17433,73.8
Russian Federation,1,0.78,57,11.7,22617,68
Rwanda,6,0.51,151,3.3,1403,64.1
Saint Kitts and Nevis,2,0.75,73,8.4,20150,73.6
Saint Lucia,2,0.71,97,8.3,9251,74.8
Saint Vincent and the Grenadines,2,0.72,91,8.6,10339,72.5
Samoa,3,0.69,106,10.3,4708,73.2
Sao Tome and Principe,6,0.56,142,4.7,3111,66.3
Saudi Arabia,4,0.84,34,8.7,52109,75.5
Senegal,6,0.49,163,4.5,2169,63.5
Serbia,1,0.75,77,9.5,11301,74.1
Seychelles,6,0.76,71,9.4,24632,73.2
Sierra Leone,6,0.37,183,2.9,1815,45.6
Singapore,5,0.9,9,10.2,72371,82.3
Slovakia,1,0.83,37,11.6,25336,75.4
Slovenia,1,0.87,25,11.9,26809,79.6
Solomon Islands,3,0.49,157,4.5,1385,67.7
South Africa,6,0.66,118,9.9,11788,56.9
Spain,1,0.87,27,9.6,30561,82.1
Sri Lanka,5,0.75,73,10.8,9250,74.3
Sudan,6,0.47,166,3.1,3428,62.1
Suriname,2,0.71,100,7.7,15113,71
Swaziland,6,0.53,148,7.1,5536,49
Sweden,1,0.9,12,11.7,43201,81.8
Switzerland,1,0.92,3,12.2,53762,82.6
Syrian Arab Republic,4,0.66,118,6.6,5771,74.6
Tajikistan,5,0.61,133,9.9,2424,67.2
Tanzania (United Republic of),6,0.49,159,5.1,1702,61.5
Thailand,5,0.72,89,7.3,13364,74.4
The former Yugoslav Republic of Macedonia,1,0.73,84,8.2,11745,75.2
Timor-Leste,5,0.62,128,4.4,9674,67.5
Togo,6,0.47,166,5.3,1129,56.5
Tonga,6,0.71,100,9.4,5316,72.7
Trinidad and Tobago,2,0.77,64,10.8,25325,69.9
Tunisia,6,0.72,90,6.5,10440,75.9
Turkey,4,0.76,69,7.6,18391,75.3
Turkmenistan,5,0.7,103,9.9,11533,65.5
Uganda,6,0.48,164,5.4,1335,59.2
Ukraine,1,0.73,83,11.3,8215,68.5
United Arab Emirates,4,0.83,40,9.1,58068,76.8
United Kingdom,1,0.89,14,12.3,35002,80.5
United States,2,0.91,5,12.9,52308,78.9
Uruguay,2,0.79,50,8.5,18108,77.2
Uzbekistan,5,0.66,116,10,5227,68.2
Vanuatu,3,0.62,131,9,2652,71.6
Venezuela (Bolivarian Republic of),2,0.76,67,8.6,17067,74.6
Viet Nam,5,0.64,121,5.5,4892,75.9
Yemen,4,0.5,154,2.5,3945,63.1
Zambia,6,0.56,141,6.5,2898,58.1
Zimbabwe,6,0.49,156,7.2,1307,59.9
